income_group,target_pop,hs_constraints,vaccine_doses,vaccine,max_coverage,age_groups_covered,vacc_start,dt,repetition,seeding_cases,variant_fold_reduction,dose_3_fold_increase,vacc_per_week,ab_model_infection,scenario,name
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,1,10,1,6,0.025,FALSE,1,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,1,10,1,6,0.025,TRUE,2,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,2,10,1,6,0.025,FALSE,3,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,2,10,1,6,0.025,TRUE,4,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,3,10,1,6,0.025,FALSE,5,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,3,10,1,6,0.025,TRUE,6,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,4,10,1,6,0.025,FALSE,7,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,4,10,1,6,0.025,TRUE,8,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,5,10,1,6,0.025,FALSE,9,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,5,10,1,6,0.025,TRUE,10,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,6,10,1,6,0.025,FALSE,11,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,6,10,1,6,0.025,TRUE,12,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,7,10,1,6,0.025,FALSE,13,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,7,10,1,6,0.025,TRUE,14,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,8,10,1,6,0.025,FALSE,15,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,8,10,1,6,0.025,TRUE,16,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,9,10,1,6,0.025,FALSE,17,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,9,10,1,6,0.025,TRUE,18,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,10,10,1,6,0.025,FALSE,19,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,10,10,1,6,0.025,TRUE,20,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,11,10,1,6,0.025,FALSE,21,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,11,10,1,6,0.025,TRUE,22,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,12,10,1,6,0.025,FALSE,23,scenario2
HIC,1000000,Present,2,Pfizer,0.8,5,1/1/2021,0.5,12,10,1,6,0.025,TRUE,24,scenario2
